"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
1996,3990,60,1,1,6.3,27500,1,0,0,0,0,0
1996,299,60,1,1,6.3,202387,1,0,0,0,0,0
1996,1250,60,1,1,6.5,182500,1,0,0,0,0,0
1996,1400,60,1,1,6.3,257000,0,0,1,0,0,0
1997,1500,60,1,1,6.3,162730,1,0,0,0,0,0
1997,555,75,1,1,6.9,267293,1,0,0,0,0,0
1997,1500,60,1,1,6.5,98000,1,0,0,0,0,0
1997,400,60,1,1,6.7,184000,1,0,0,0,0,0
1997,700,75,1,1,6.9,121660,1,0,0,0,0,0
1997,999,50,1,1,5.9,121700,1,0,0,0,0,0
1998,120,50,1,1,5.9,200000,1,0,0,0,0,0
1998,550,45,1,1,6,142000,1,0,0,0,0,0
1998,1400,75,1,1,6.9,80000,1,0,0,0,0,0
1998,1280,50,1,1,5.9,149700,1,0,0,0,0,0
1998,790,50,1,1,5.9,310080,0,0,1,0,0,0
1998,2499,50,1,1,5.9,93350,0,0,0,0,1,0
1998,930,60,1,1,6.3,309900,0,0,0,0,1,0
1999,729,50,1,1,5.9,314900,1,0,0,0,0,0
1999,499,60,1,1,6.3,154061,1,0,0,0,0,0
1999,1399,60,1,1,6.3,134000,1,0,0,0,0,0
1999,1000,50,1,1,5.9,240000,1,0,0,0,0,0
1999,260,50,1,1,5.7,175000,0,0,0,0,1,0
1999,1996,50,1,1,6,152251,0,0,0,0,1,0
1999,490,60,1,1,6.2,143000,0,0,0,0,1,0
2000,1200,75,0,1,6.9,65000,1,0,0,0,0,0
2000,3799,60,1,1,6.1,91800,1,0,0,0,0,0
2000,750,75,1,0,4.4,218314,1,0,0,0,0,0
2000,3950,60,0,1,6.2,72300,1,0,0,0,0,0
2000,1900,60,1,1,6.1,89900,1,0,0,0,0,0
2000,2900,60,1,1,5.5,138500,1,0,0,0,0,0
2000,990,50,1,1,5.9,205449,1,0,0,0,0,0
2000,1100,60,1,1,6.3,217665,0,0,0,1,0,0
2000,1150,50,1,1,5.9,200000,0,0,0,1,0,0
2000,700,60,1,1,6.2,221000,0,0,0,0,1,0
2000,1985,60,1,1,6.2,238500,0,0,0,0,1,0
2000,3499,60,1,1,6.7,97000,0,1,0,0,0,0
2000,1111,60,1,1,5.7,191000,0,1,0,0,0,0
2000,2100,60,1,1,6.7,146000,0,1,0,0,0,0
2000,1299,75,1,1,6.3,212528,0,1,0,0,0,0
2000,1790,50,1,1,5.4,149102,0,1,0,0,0,0
2000,1550,75,0,1,4.5,225500,0,1,0,0,0,0
2000,1649,75,1,1,6.3,260000,0,1,0,0,0,0
2000,1700,75,1,1,6.7,164000,0,1,0,0,0,0
2001,1950,60,1,1,6.1,185146,1,0,0,0,0,0
2001,1300,60,1,1,6.2,196000,1,0,0,0,0,0
2001,2299,60,1,1,6.2,170000,1,0,0,0,0,0
2001,3690,75,1,1,6.3,94941,1,0,0,0,0,0
2001,2199,75,1,1,6.7,135900,1,0,0,0,0,0
2001,1050,60,1,1,6.7,216000,1,0,0,0,0,0
2001,690,50,1,1,5.9,205000,1,0,0,0,0,0
2001,600,60,1,1,6.1,244000,1,0,0,0,0,0
2001,1990,50,1,1,5.9,145000,1,0,0,0,0,0
2001,2590,75,1,1,6.7,116100,1,0,0,0,0,0
2001,500,75,1,1,6.3,260000,0,0,0,1,0,0
2001,650,50,1,1,5.9,236000,0,0,0,0,1,0
2001,1500,50,1,1,5.9,170000,0,0,0,0,1,0
2001,1150,60,1,1,6.7,235000,0,0,0,0,1,0
2001,1700,60,1,1,6.2,202000,0,0,0,0,1,0
2001,3000,60,1,1,6.1,70000,0,0,0,0,1,0
2001,1700,75,1,1,6.4,267000,0,0,0,0,1,0
2001,399,60,1,1,6.1,180000,0,0,0,0,1,0
2001,630,60,1,1,6.2,124905,0,0,0,0,1,0
2001,2999,50,1,1,5.9,126706,0,0,0,0,1,0
2001,1200,60,1,1,6,202000,0,0,0,0,1,0
2001,2650,50,1,1,5.7,81837,0,0,0,0,1,0
2001,1650,50,1,1,5.7,123000,0,1,0,0,0,0
2001,1700,60,1,1,6.4,124000,0,1,0,0,0,0
2001,7000,50,1,1,5.9,47000,0,1,0,0,0,0
2001,999,50,1,1,5.7,140000,0,1,0,0,0,0
2001,2950,75,0,1,6.3,1332500,0,1,0,0,0,0
2001,2990,75,1,1,6.7,105000,0,1,0,0,0,0
2001,2300,60,1,1,6.2,88400,0,1,0,0,0,0
2001,4990,125,1,1,7.1,222014,0,1,0,0,0,0
2001,990,60,1,1,6.2,189877,0,1,0,0,0,0
2001,800,75,1,1,6.7,250000,0,1,0,0,0,0
2001,2100,60,1,1,6.2,174000,0,1,0,0,0,0
2001,1999,50,1,1,5.9,169813,0,1,0,0,0,0
2001,2790,60,0,1,6.2,145000,0,1,0,0,0,0
2002,4199,75,0,1,7.6,151000,1,0,0,0,0,0
2002,1500,64,1,1,5.9,167000,1,0,0,0,0,0
2002,1850,75,1,0,4.4,242000,1,0,0,0,0,0
2002,999,64,1,1,6.3,202000,1,0,0,0,0,0
2002,750,64,1,1,6.3,200000,1,0,0,0,0,0
2002,1999,64,1,1,6.3,153000,1,0,0,0,0,0
2002,2250,75,1,1,6.4,181200,1,0,0,0,0,0
2002,1790,75,1,1,6.4,156307,1,0,0,0,0,0
2002,800,101,1,0,5.2,322000,1,0,0,0,0,0
2002,2500,64,1,1,5.9,154000,1,0,0,0,0,0
2002,1000,54,1,1,6,177000,1,0,0,0,0,0
2002,3000,64,1,1,5.9,150000,1,0,0,0,0,0
2002,2990,75,1,1,6.7,109800,1,0,0,0,0,0
2002,3999,64,1,1,5.9,81000,1,0,0,0,0,0
2002,3499,64,1,1,6.3,142000,1,0,0,0,0,0
2002,999,101,1,0,5.2,246000,1,0,0,0,0,0
2002,2900,64,1,1,6.3,104000,1,0,0,0,0,0
2002,2350,64,1,1,5.9,162200,1,0,0,0,0,0
2002,650,75,1,1,6.7,162000,1,0,0,0,0,0
2002,300,75,1,1,6.4,228000,1,0,0,0,0,0
2002,2210,64,1,1,6.3,147000,1,0,0,0,0,0
2002,650,75,1,1,6.7,215000,1,0,0,0,0,0
2002,4690,101,1,0,5.2,150000,1,0,0,0,0,0
2002,4000,75,0,1,6.4,130000,1,0,0,0,0,0
2002,1400,75,1,1,6.4,166000,1,0,0,0,0,0
2002,1500,64,1,1,5.9,192486,0,0,0,1,0,0
2002,1550,64,1,1,5.9,228000,0,0,0,1,0,0
2002,1800,75,1,0,4.4,268000,0,0,0,1,0,0
2002,1200,60,1,1,6.7,252000,0,0,0,1,0,0
2002,2990,54,1,1,5.8,110400,0,0,0,1,0,0
2002,1999,64,1,1,6.7,321511,0,0,0,1,0,0
2002,1800,60,1,1,6.2,155000,0,0,0,1,0,0
2002,1600,64,1,1,5.9,220000,0,0,0,1,0,0
2002,1999,75,1,1,6.3,177000,0,0,0,1,0,0
2002,1300,101,1,1,6.3,196000,0,0,1,0,0,0
2002,6410,75,0,1,7.6,75000,0,0,1,0,0,0
2002,1900,64,1,1,5.9,170000,0,0,1,0,0,0
2002,850,64,1,1,5.9,153642,0,0,1,0,0,0
2002,1999,75,1,1,6.7,117000,0,0,1,0,0,0
2002,499,64,1,1,5.9,230000,0,0,1,0,0,0
2002,2990,75,1,1,6.7,171000,0,0,0,0,1,0
2002,1800,87,1,1,5.8,195000,0,0,0,0,1,0
2002,1599,75,1,1,6.7,180863,0,0,0,0,1,0
2002,875,60,1,1,6.1,203158,0,0,0,0,1,0
2002,2650,54,1,1,6,170000,0,0,0,0,1,0
2002,2850,75,1,1,6.4,186000,0,0,0,0,1,0
2002,1500,64,1,1,5.9,202000,0,0,0,0,1,0
2002,1100,54,1,1,5.8,186000,0,0,0,0,1,0
2002,2400,75,1,1,6.4,193500,0,0,0,0,1,0
2002,1850,64,1,1,5.9,207000,0,0,0,0,1,0
2002,1870,50,1,1,5.7,224500,0,0,0,0,1,0
2002,1990,64,1,1,5.9,150000,0,0,0,0,1,0
2002,4450,75,0,1,7.6,134500,0,1,0,0,0,0
2002,2490,64,1,1,6.3,166774,0,1,0,0,0,0
2002,2499,64,1,1,5.9,94000,0,1,0,0,0,0
2002,2490,54,1,1,6,115000,0,1,0,0,0,0
2002,2499,64,1,1,5.9,166000,0,1,0,0,0,0
2002,2950,75,0,1,7.6,248759,0,1,0,0,0,0
2002,1299,54,1,1,6,200000,0,1,0,0,0,0
2002,3480,75,1,1,6.7,120000,0,1,0,0,0,0
2002,2900,54,1,1,6,85000,0,1,0,0,0,0
2002,5400,75,1,1,6.7,42495,0,1,0,0,0,0
2002,1600,64,1,1,5.9,182000,0,1,0,0,0,0
2002,4290,75,0,1,7.6,134000,0,1,0,0,0,0
2002,2100,64,1,1,6.3,212000,0,1,0,0,0,0
2002,2200,64,1,1,5.9,198000,0,1,0,0,0,0
2002,5500,75,1,1,6.7,24000,0,1,0,0,0,0
2002,1899,54,1,1,5.8,133000,0,1,0,0,0,0
2002,1400,65,1,1,5.9,153632,0,1,0,0,0,0
2002,1850,75,1,1,6.4,97000,0,1,0,0,0,0
2002,950,64,1,1,5.9,205000,0,1,0,0,0,0
2002,1990,64,1,1,6.3,208500,0,1,0,0,0,0
2002,2500,75,0,1,6.4,239000,0,1,0,0,0,0
2002,1890,54,1,1,5.8,169000,0,1,0,0,0,0
2002,1200,101,1,0,4.9,294540,0,1,0,0,0,0
2002,1300,64,1,1,5.8,198000,0,1,0,0,0,0
2002,2750,75,1,1,6.4,137500,0,1,0,0,0,0
2002,700,75,1,1,6.7,232286,0,1,0,0,0,0
2003,3850,64,1,1,6.3,153800,1,0,0,0,0,0
2003,1999,64,1,1,5.9,266000,1,0,0,0,0,0
2003,1900,64,1,1,5.9,210000,1,0,0,0,0,0
2003,1900,64,1,1,5.9,210000,1,0,0,0,0,0
2003,2600,54,1,1,5.8,130000,1,0,0,0,0,0
2003,2350,54,1,1,5.8,56000,1,0,0,0,0,0
2003,2850,54,1,1,6,132200,1,0,0,0,0,0
2003,2499,64,1,1,5.9,113000,1,0,0,0,0,0
2003,4000,54,1,1,5.8,82000,1,0,0,0,0,0
2003,2900,75,1,1,6.4,146000,1,0,0,0,0,0
2003,3280,54,1,1,6,136000,1,0,0,0,0,0
2003,1390,54,1,1,5.8,173000,1,0,0,0,0,0
2003,990,54,1,1,6,250000,1,0,0,0,0,0
2003,1699,75,1,1,6.4,221000,1,0,0,0,0,0
2003,600,75,1,1,6.7,264000,1,0,0,0,0,0
2003,990,101,1,0,4.9,180000,1,0,0,0,0,0
2003,2090,64,1,1,5.9,167900,1,0,0,0,0,0
2003,2890,75,1,1,6.7,200000,1,0,0,0,0,0
2003,1500,64,1,1,5.9,152000,1,0,0,0,0,0
2003,1500,64,1,1,5.9,152000,1,0,0,0,0,0
2003,3199,75,1,1,6.7,120084,1,0,0,0,0,0
2003,2000,75,1,1,5.4,154700,1,0,0,0,0,0
2003,2850,54,1,1,6,78800,1,0,0,0,0,0
2003,2990,64,1,1,6.3,146000,1,0,0,0,0,0
2003,1790,64,1,1,6.3,277000,1,0,0,0,0,0
2003,650,75,1,0,5,468041,1,0,0,0,0,0
2003,2900,75,1,1,6.4,83000,1,0,0,0,0,0
2003,3250,75,1,1,6.7,187700,1,0,0,0,0,0
2003,2699,75,1,1,6.4,154000,1,0,0,0,0,0
2003,1500,64,1,1,5.9,141000,1,0,0,0,0,0
2003,1800,64,1,1,5.9,121200,1,0,0,0,0,0
2003,2050,64,1,1,5.6,185000,1,0,0,0,0,0
2003,1700,64,1,1,5.9,114650,1,0,0,0,0,0
2003,2450,64,1,1,5.9,165000,1,0,0,0,0,0
2003,1050,64,1,1,5.9,79950,1,0,0,0,0,0
2003,4390,75,0,1,6.4,85000,1,0,0,0,0,0
2003,1200,64,1,1,5.9,174600,1,0,0,0,0,0
2003,1200,64,1,1,6.3,173000,1,0,0,0,0,0
2003,3500,86,1,1,5.8,180000,1,0,0,0,0,0
2003,3350,75,1,0,4.4,115000,1,0,0,0,0,0
2003,2299,64,1,1,5.9,160000,0,0,0,1,0,0
2003,2400,64,1,1,5.9,180000,0,0,0,1,0,0
2003,2990,64,1,1,5.9,127500,0,0,0,1,0,0
2003,600,64,1,1,5.9,172200,0,0,0,1,0,0
2003,3333,64,1,1,5.9,120300,0,0,0,1,0,0
2003,2850,54,1,1,5.8,102000,0,0,0,1,0,0
2003,1500,64,1,1,5.9,220000,0,0,1,0,0,0
2003,2350,54,1,1,5.8,101700,0,0,0,0,1,0
2003,1999,54,1,1,6,162000,0,0,0,0,1,0
2003,2200,75,1,1,6.4,190000,0,0,0,0,1,0
2003,4999,64,1,1,6.3,173000,0,0,0,0,1,0
2003,1950,64,1,1,6.3,182100,0,0,0,0,1,0
2003,3495,64,1,1,5.9,132000,0,0,0,0,1,0
2003,2500,75,1,0,4.4,237390,0,0,0,0,1,0
2003,700,54,1,1,6,162825,0,0,0,0,1,0
2003,2000,64,1,1,5.9,152342,0,0,0,0,1,0
2003,1550,68,1,1,5.9,147500,0,0,0,0,1,0
2003,2350,75,1,1,7.4,150000,0,0,0,0,1,0
2003,2000,64,1,1,5.9,178000,0,0,0,0,1,0
2003,2650,54,1,1,6,162700,0,0,0,0,1,0
2003,2990,75,1,0,5,138309,0,0,0,0,1,0
2003,3500,86,1,1,5.9,121216,0,0,0,0,1,0
2003,1399,75,1,1,6.4,240000,0,0,0,0,1,0
2003,2700,75,1,1,6.7,159496,0,0,0,0,1,0
2003,2300,64,1,1,5.9,197000,0,0,0,0,1,0
2003,1900,75,1,0,4.4,223192,0,0,0,0,1,0
2003,1000,75,1,1,6.4,215000,0,0,0,0,1,0
2003,2990,64,1,1,6.3,140109,0,0,0,0,1,0
2003,2300,64,1,1,5.9,230000,0,0,0,0,1,0
2003,2200,54,1,1,5.8,137717,0,0,0,0,1,0
2003,2599,75,1,1,6.4,173325,0,0,0,0,1,0
2003,2450,75,1,1,6.7,136438,0,0,0,0,1,0
2003,2500,75,1,1,6.4,148000,0,0,0,0,1,0
2003,990,75,1,1,6.4,210000,0,0,0,0,1,0
2003,2599,64,1,1,6.3,141500,0,0,0,0,1,0
2003,999,64,1,1,5.9,135000,0,0,0,0,1,0
2003,550,64,1,1,5.9,264000,0,0,0,0,1,0
2003,1200,54,1,1,5,220000,0,0,0,0,1,0
2003,750,64,1,1,5.9,269513,0,0,0,0,1,0
2003,4990,54,1,1,6,61874,0,0,0,0,1,0
2003,999,75,1,1,6.7,266000,0,0,0,0,1,0
2003,3299,64,1,1,6,193460,0,0,0,0,1,0
2003,2000,54,1,1,5.8,154000,0,0,0,0,1,0
2003,2250,64,1,1,5.9,199900,0,0,0,0,1,0
2003,1150,54,1,1,5.8,214500,0,0,0,0,1,0
2003,800,75,1,1,6.4,237000,0,0,0,0,1,0
2003,2000,64,1,1,5.9,141250,0,0,0,0,1,0
2003,2900,64,1,1,6.3,160000,0,0,0,0,1,0
2003,1700,64,1,1,5.9,203000,0,0,0,0,1,0
2003,1800,54,1,1,5.8,188000,0,0,0,0,1,0
2003,750,54,1,1,6,168000,0,0,0,0,1,0
2003,1080,64,1,1,5.9,200000,0,0,0,0,1,0
2003,900,64,1,1,5.9,180200,0,0,0,0,1,0
2003,2500,101,1,1,6.6,192000,0,1,0,0,0,0
2003,2900,64,1,1,5.9,133000,0,1,0,0,0,0
2003,1500,64,1,1,5.9,200000,0,1,0,0,0,0
2003,2999,75,1,1,6.4,180000,0,1,0,0,0,0
2003,2990,64,1,1,6.3,147000,0,1,0,0,0,0
2003,4000,75,0,1,6.4,124454,0,1,0,0,0,0
2003,2550,64,1,1,5.9,146000,0,1,0,0,0,0
2003,2000,64,1,1,5.9,125000,0,1,0,0,0,0
2003,2200,54,1,1,6,94100,0,1,0,0,0,0
2003,3900,64,1,1,5.9,133000,0,1,0,0,0,0
2003,1490,54,1,1,5.8,152000,0,1,0,0,0,0
2003,1700,86,1,1,5.8,134000,0,1,0,0,0,0
2003,3500,75,1,1,6.4,103000,0,1,0,0,0,0
2003,5702,75,0,1,7.6,51100,0,1,0,0,0,0
2003,4799,75,1,1,6.4,76200,0,1,0,0,0,0
2003,2990,64,1,1,6.3,164260,0,1,0,0,0,0
2003,4999,75,1,1,6.7,126704,0,1,0,0,0,0
2003,1700,101,1,0,5.2,280000,0,1,0,0,0,0
2003,500,64,1,1,5.9,190000,0,1,0,0,0,0
2003,2700,64,1,1,5.9,142000,0,1,0,0,0,0
2003,2799,64,1,1,6.3,115000,0,1,0,0,0,0
2003,2650,75,1,1,6.4,120000,0,1,0,0,0,0
2003,1870,75,1,1,6.7,190095,0,1,0,0,0,0
2003,1900,64,1,1,5.9,153000,0,1,0,0,0,0
2003,2900,64,1,1,5.9,115000,0,1,0,0,0,0
2003,2300,54,1,1,5.8,127000,0,1,0,0,0,0
2003,1250,54,1,1,5.8,130000,0,1,0,0,0,0
2003,1300,64,1,1,5.9,160000,0,1,0,0,0,0
2003,2490,54,1,1,5.8,127000,0,1,0,0,0,0
2003,2950,75,1,1,6.5,209430,0,1,0,0,0,0
2003,2200,54,1,1,5.8,178801,0,1,0,0,0,0
2003,2500,54,1,1,5.8,171000,0,1,0,0,0,0
2003,2999,64,1,1,6.3,153223,0,1,0,0,0,0
2003,2888,54,1,1,5.8,94900,0,1,0,0,0,0
2003,2200,54,1,1,5.8,175000,0,1,0,0,0,0
2003,2450,64,1,1,5.9,165300,0,1,0,0,0,0
2003,1250,54,1,1,6,153000,0,1,0,0,0,0
2003,3500,54,1,1,5.8,105000,0,1,0,0,0,0
2003,2990,75,0,1,7.6,240314,0,1,0,0,0,0
2003,1200,64,1,1,5.9,215000,0,1,0,0,0,0
2003,1700,54,1,1,5.8,200768,0,1,0,0,0,0
2003,2450,54,1,1,6.4,141000,0,1,0,0,0,0
2003,2490,64,1,1,6.3,175000,0,1,0,0,0,0
2003,2699,75,0,1,7.6,180000,0,1,0,0,0,0
2003,980,54,1,1,6,207260,0,1,0,0,0,0
2003,1100,64,1,1,5.9,190000,0,1,0,0,0,0
2003,500,64,1,1,6.3,189000,0,1,0,0,0,0
2004,4700,75,1,1,6.7,101230,1,0,0,0,0,0
2004,1400,64,1,1,6,107000,1,0,0,0,0,0
2004,980,64,1,1,6.3,257000,1,0,0,0,0,0
2004,2899,64,1,1,6.3,155000,1,0,0,0,0,0
2004,2490,54,1,1,6,167448,1,0,0,0,0,0
2004,3500,64,1,1,6,148500,1,0,0,0,0,0
2004,1200,64,1,1,5.9,175000,1,0,0,0,0,0
2004,2100,64,1,1,5.9,190000,1,0,0,0,0,0
2004,1050,64,1,1,5.9,225000,1,0,0,0,0,0
2004,1999,75,1,0,5,282000,1,0,0,0,0,0
2004,1600,75,1,1,6.7,217000,1,0,0,0,0,0
2004,2399,54,1,1,5.8,111000,1,0,0,0,0,0
2004,1100,54,1,1,5.8,151075,1,0,0,0,0,0
2004,950,54,1,1,6,220000,1,0,0,0,0,0
2004,2250,75,1,0,5,160463,1,0,0,0,0,0
2004,999,54,1,1,6.3,116500,1,0,0,0,0,0
2004,1999,54,1,1,6,165621,1,0,0,0,0,0
2004,3400,54,1,1,6,102000,1,0,0,0,0,0
2004,2999,54,1,1,6,179000,1,0,0,0,0,0
2004,2190,64,1,1,6.3,86102,1,0,0,0,0,0
2004,750,86,1,1,5.8,160000,1,0,0,0,0,0
2004,2500,54,1,1,5.8,210000,0,0,0,1,0,0
2004,1100,54,1,1,5.8,150000,0,0,0,1,0,0
2004,4900,75,1,1,6.7,51999,0,0,1,0,0,0
2004,4990,75,1,0,4.4,320000,0,0,1,0,0,0
2004,1999,64,1,1,6.3,206000,0,0,1,0,0,0
2004,1750,64,1,1,6.3,159000,0,0,0,0,1,0
2004,1900,64,1,1,5.9,227000,0,0,0,0,1,0
2004,2495,54,1,1,5.8,225000,0,0,0,0,1,0
2004,2450,64,1,1,5.9,202816,0,0,0,0,1,0
2004,1859,64,1,1,5.9,2106511,0,0,0,0,1,0
2004,2850,64,1,1,5.9,146800,0,0,0,0,1,0
2004,990,64,1,1,6.3,192875,0,0,0,0,1,0
2004,2350,54,1,1,5.8,150000,0,0,0,0,1,0
2004,2000,54,1,1,5.8,247547,0,0,0,0,1,0
2004,1399,64,1,1,6.3,230293,0,0,0,0,1,0
2004,1950,54,1,1,5.8,149000,0,0,0,0,1,0
2004,3300,64,1,1,5.9,110000,0,0,0,0,1,0
2004,2490,64,1,1,6.3,222000,0,0,0,0,1,0
2004,1999,64,1,1,5.9,185000,0,0,0,0,1,0
2004,2450,64,1,1,6.3,176537,0,0,0,0,1,0
2004,1899,75,1,1,6.5,269000,0,0,0,0,1,0
2004,2200,64,1,1,6.3,279000,0,0,0,0,1,0
2004,1999,75,1,1,6.5,223000,0,0,0,0,1,0
2004,3990,75,1,1,6.7,140050,0,0,0,0,1,0
2004,2499,75,1,1,6.7,200000,0,0,0,0,1,0
2004,2999,54,1,1,6.3,122000,0,0,0,0,1,0
2004,3990,64,1,1,6.3,179585,0,0,0,0,1,0
2004,2690,54,1,1,6,160000,0,0,0,0,1,0
2004,1800,54,1,1,5.8,186800,0,0,0,0,1,0
2004,2000,64,1,1,5.9,165000,0,0,0,0,1,0
2004,1200,64,1,1,5.9,140000,0,0,0,0,1,0
2004,2999,54,1,1,6,160000,0,0,0,0,1,0
2004,1199,64,1,1,6,314500,0,0,0,0,1,0
2004,2000,75,1,1,6.4,245600,0,0,0,0,1,0
2004,2850,64,1,1,6,193000,0,0,0,0,1,0
2004,6795,75,0,1,7.6,44581,0,1,0,0,0,0
2004,2499,75,1,0,4.4,269500,0,1,0,0,0,0
2004,3700,64,1,1,5.9,76500,0,1,0,0,0,0
2004,1300,54,1,1,5.8,178000,0,1,0,0,0,0
2004,1999,54,1,1,6,106639,0,1,0,0,0,0
2004,3350,75,1,1,6.7,137896,0,1,0,0,0,0
2004,2499,54,1,1,6.3,155000,0,1,0,0,0,0
2004,3400,75,1,0,4.4,175000,0,1,0,0,0,0
2004,2599,75,1,1,6.4,146050,0,1,0,0,0,0
2004,2599,64,1,1,6,119325,0,1,0,0,0,0
2004,2000,101,1,1,6.7,155000,0,1,0,0,0,0
2004,2600,64,1,1,5.9,134000,0,1,0,0,0,0
2004,4000,75,0,1,6.4,82000,0,1,0,0,0,0
2004,4888,75,1,1,6.7,64054,0,1,0,0,0,0
2004,1100,101,1,1,6.6,217527,0,1,0,0,0,0
2004,990,75,1,1,6.5,146000,0,1,0,0,0,0
2004,1400,64,1,1,6.3,187789,0,1,0,0,0,0
2004,2300,75,1,0,5,179696,0,1,0,0,0,0
2004,1749,65,1,1,6.4,174413,0,1,0,0,0,0
2004,2200,75,1,1,6.4,158340,0,1,0,0,0,0
2004,3950,75,1,0,5,179696,0,1,0,0,0,0
2004,999,54,1,1,6.3,234000,0,1,0,0,0,0
2004,2990,54,1,1,6,170843,0,1,0,0,0,0
2004,2250,75,1,1,6.4,186000,0,1,0,0,0,0
2004,1150,54,1,1,5.8,176800,0,1,0,0,0,0
2004,1400,54,1,1,5.8,240000,0,1,0,0,0,0
2004,2490,54,1,1,6,133765,0,1,0,0,0,0
2004,1900,64,1,1,5.9,211451,0,1,0,0,0,0
2004,698,75,1,1,6.7,142039,0,1,0,0,0,0
2004,2999,64,1,1,6.3,142000,0,1,0,0,0,0
2004,600,64,1,1,5.9,160000,0,1,0,0,0,0
2005,2450,54,1,1,5.8,187000,1,0,0,0,0,0
2005,5999,75,0,1,7.7,51000,1,0,0,0,0,0
2005,3800,54,1,1,6,140000,1,0,0,0,0,0
2005,2450,75,1,1,6.4,194000,1,0,0,0,0,0
2005,2999,54,1,1,5.8,145000,1,0,0,0,0,0
2005,2950,64,1,1,5.9,222000,1,0,0,0,0,0
2005,2190,64,1,1,6.3,184000,1,0,0,0,0,0
2005,2650,64,1,1,5.9,196000,1,0,0,0,0,0
2005,850,54,1,1,5.8,162000,1,0,0,0,0,0
2005,2300,54,1,1,5.8,164000,1,0,0,0,0,0
2005,4999,75,1,1,6.5,87500,1,0,0,0,0,0
2005,4499,54,1,1,5.9,66000,1,0,0,0,0,0
2005,4500,75,0,1,7.5,171000,1,0,0,0,0,0
2005,2800,54,1,1,6.2,109000,1,0,0,0,0,0
2005,5500,75,0,1,7.5,115900,1,0,0,0,0,0
2005,2200,64,1,1,5.9,173800,1,0,0,0,0,0
2005,2990,54,1,1,5.8,138000,1,0,0,0,0,0
2005,2990,64,1,1,5.9,106000,1,0,0,0,0,0
2005,2290,75,1,1,6.7,174000,1,0,0,0,0,0
2005,899,54,1,1,5.8,126000,1,0,0,0,0,0
2005,2650,75,1,1,6.5,83000,1,0,0,0,0,0
2005,2750,75,1,1,6.4,83000,1,0,0,0,0,0
2005,1890,75,1,1,6.7,245830,1,0,0,0,0,0
2005,2800,75,1,1,6.5,171150,1,0,0,0,0,0
2005,2000,54,1,1,5.8,150000,1,0,0,0,0,0
2005,2800,54,1,1,6.2,109000,1,0,0,0,0,0
2005,1650,75,1,1,6.5,168000,1,0,0,0,0,0
2005,2200,64,1,1,5.9,174000,1,0,0,0,0,0
2005,2000,64,1,1,5.9,201500,1,0,0,0,0,0
2005,550,64,1,1,5.9,282510,1,0,0,0,0,0
2005,500,64,1,1,5.9,208000,0,0,0,1,0,0
2005,2150,64,1,1,5.9,154000,0,0,0,1,0,0
2005,1500,64,1,1,5.9,191850,0,0,0,1,0,0
2005,1850,54,1,1,6.4,200000,0,0,0,1,0,0
2005,500,54,1,1,5.8,167982,0,0,1,0,0,0
2005,2400,75,0,1,7.5,300000,0,0,1,0,0,0
2005,4300,75,1,1,6.4,95400,0,0,1,0,0,0
2005,2650,101,1,1,6.6,204000,0,0,1,0,0,0
2005,300,64,1,1,5.9,264215,0,0,0,0,1,0
2005,3000,64,1,1,5.9,107500,0,0,0,0,1,0
2005,3900,75,1,1,6.5,95000,0,0,0,0,1,0
2005,1700,75,1,0,4.4,199980,0,0,0,0,1,0
2005,3900,64,1,1,5.9,150000,0,0,0,0,1,0
2005,4950,54,1,1,5.8,136965,0,0,0,0,1,0
2005,3890,64,1,1,5.9,160000,0,0,0,0,1,0
2005,2700,54,1,1,5.8,157000,0,0,0,0,1,0
2005,2300,64,1,1,5.9,189100,0,0,0,0,1,0
2005,3500,101,1,0,4.9,250000,0,0,0,0,1,0
2005,2499,75,1,1,6.7,161925,0,0,0,0,1,0
2005,1999,54,1,1,5.1,99000,0,0,0,0,1,0
2005,3200,75,1,1,6.7,129641,0,0,0,0,1,0
2005,3599,75,1,1,6.5,147013,0,0,0,0,1,0
2005,2899,75,1,1,6.5,133000,0,0,0,0,1,0
2005,4490,64,1,1,5.9,145900,0,0,0,0,1,0
2005,4900,54,1,1,5.8,69900,0,0,0,0,1,0
2005,1750,64,1,1,5.9,105833,0,0,0,0,1,0
2005,1700,75,1,1,6.4,200000,0,0,0,0,1,0
2005,3950,75,1,1,6.5,135000,0,0,0,0,1,0
2005,2550,101,1,0,5.1,230969,0,0,0,0,1,0
2005,2500,54,1,1,5.8,237000,0,0,0,0,1,0
2005,4150,54,1,1,5.8,105000,0,0,0,0,1,0
2005,999,75,1,1,6.5,200000,0,0,0,0,1,0
2005,3490,54,1,1,6.3,125875,0,0,0,0,1,0
2005,1200,54,1,1,5.8,170000,0,0,0,0,1,0
2005,2500,75,1,1,6.5,226000,0,1,0,0,0,0
2005,2500,75,1,1,6.5,134704,0,1,0,0,0,0
2005,3890,101,1,0,4.9,192000,0,1,0,0,0,0
2005,5800,75,0,1,7.7,160000,0,1,0,0,0,0
2005,3890,54,1,1,5.8,178100,0,1,0,0,0,0
2005,3850,64,1,1,5.9,71387,0,1,0,0,0,0
2005,4300,64,1,1,5.9,59300,0,1,0,0,0,0
